City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Kosh-Agach,RU,50.0,88.6667,32.27,77,9,3.2,clear sky
122,Newcastle,AU,-32.9272,151.7765,60.82,60,0,18.41,clear sky
123,Marion,US,39.7684,-86.1555,81.41,61,20,10.36,few clouds
124,Kahului,US,20.8947,-156.47,74.84,68,0,6.91,clear sky
125,Bloemfontein,ZA,-29.1211,26.214,71.08,35,0,4.61,clear sky
126,Yima,CN,34.7381,111.8839,72.59,62,67,4.83,broken clouds
127,Wanning,CN,18.8003,110.3967,79.14,81,72,2.86,broken clouds
128,Beira,MZ,-19.8436,34.8389,74.43,81,0,12.3,clear sky
129,Ola,RU,59.5833,151.2833,41.38,54,0,4.76,clear sky
130,Oktyabrskiy,RU,54.4815,53.471,60.12,95,100,10.33,overcast clouds
131,Kieta,PG,-6.2167,155.6333,78.03,84,15,5.68,light rain
132,Daokou,CN,35.5639,114.5058,69.8,64,6,3.65,clear sky
133,Nyurba,RU,63.2842,118.3319,29.7,86,89,7.47,overcast clouds
134,Mar Del Plata,AR,-38.0023,-57.5575,64.42,87,100,25.01,overcast clouds
135,Ariquemes,BR,-9.9133,-63.0408,104.95,23,45,0.81,scattered clouds
136,Bonthe,SL,7.5264,-12.505,79.74,79,63,11.81,light rain
137,Agnibilekrou,CI,7.1344,-3.2047,78.55,81,95,3.71,light rain
138,Gasa,PS,31.5,34.4667,79.88,64,0,12.03,clear sky
139,Kiunga,PG,-6.1219,141.2906,72.66,100,100,1.74,light rain
140,Makakilo City,US,21.3469,-158.0858,73.98,87,100,4.61,overcast clouds
141,Davila,PH,18.4726,120.5763,79.95,80,100,13.82,overcast clouds
142,Fortuna,US,40.5982,-124.1573,60.93,83,100,3.0,overcast clouds
143,Luderitz,NA,-26.6481,15.1594,59.83,77,53,27.65,broken clouds
144,Nhulunbuy,AU,-12.2333,136.7667,74.01,94,28,0.0,scattered clouds
145,Hualmay,PE,-11.0964,-77.6139,67.14,73,34,13.67,scattered clouds
146,Hasaki,JP,35.7333,140.8333,77.4,85,100,11.74,overcast clouds
147,Touros,BR,-5.1989,-35.4608,84.04,59,63,14.34,broken clouds
148,Katsuura,JP,35.1333,140.3,77.02,88,100,11.77,light rain
149,Fonte Boa,BR,-2.4959,-66.2662,93.18,45,98,3.13,overcast clouds
150,Kant,IN,27.8,79.8,75.52,94,46,3.42,scattered clouds
151,Ballina,AU,-28.8667,153.5667,61.02,64,0,8.5,clear sky
152,Esperance,AU,-33.8667,121.9,56.53,78,63,4.83,broken clouds
153,Khani,GE,41.9563,42.9566,69.37,49,19,6.78,few clouds
154,Iqaluit,CA,63.7506,-68.5145,47.93,66,75,15.01,broken clouds
155,Shellbrook,CA,53.2168,-106.4011,49.23,44,100,7.25,overcast clouds
156,Ridgecrest,US,35.6225,-117.6709,77.02,36,0,4.61,clear sky
157,Pastos Bons,BR,-6.6017,-44.0767,102.76,13,90,8.7,overcast clouds
158,Vardo,NO,70.3705,31.1107,46.38,93,100,24.16,overcast clouds
159,Iquitos,PE,-3.7481,-73.2472,84.24,79,20,4.61,few clouds
160,Isangel,VU,-19.55,169.2667,72.91,86,42,10.33,scattered clouds
161,Anzoategui,CO,4.63,-75.0954,68.2,58,91,6.62,overcast clouds
162,Bambous Virieux,MU,-20.3428,57.7575,71.85,78,40,16.11,light rain
163,Miramar,US,25.9873,-80.2323,92.01,70,75,13.8,broken clouds
164,Bairnsdale,AU,-37.8333,147.6167,47.05,81,72,10.96,broken clouds
165,Barrow,US,71.2906,-156.7887,33.82,93,100,26.46,overcast clouds
166,Khasan,RU,42.4308,130.6434,67.28,96,100,3.38,overcast clouds
167,Avarua,CK,-21.2078,-159.775,66.25,100,80,1.14,broken clouds
168,Cap Malheureux,MU,-19.9842,57.6142,71.47,73,0,10.0,light rain
169,Borba,BR,-4.3878,-59.5939,101.57,26,77,3.22,broken clouds
170,Alofi,NU,-19.0595,-169.9187,64.29,94,11,2.3,few clouds
171,Te Anau,NZ,-45.4167,167.7167,36.03,91,95,1.25,overcast clouds
172,Mikkeli,FI,61.6886,27.2723,51.91,93,35,1.14,light rain
173,Linhares,BR,-19.3911,-40.0722,63.63,89,100,7.49,overcast clouds
174,Qaanaaq,GL,77.484,-69.3632,31.35,63,1,5.3,clear sky
175,Bubaque,GW,11.2833,-15.8333,80.17,80,100,11.41,overcast clouds
176,Adrar,MR,20.5022,-10.0711,94.35,19,0,8.9,clear sky
177,Kashi,CN,39.4547,75.9797,72.61,37,75,2.24,broken clouds
178,Codrington,AU,-38.2667,141.9667,50.47,78,94,21.74,overcast clouds
179,Paamiut,GL,61.994,-49.6678,45.1,98,100,5.03,light rain
180,Kohima,IN,25.6667,94.1167,64.74,97,100,1.7,overcast clouds
181,Ashland,US,40.8167,-82.2665,78.22,65,98,10.02,overcast clouds
182,Morant Bay,JM,17.8815,-76.4093,91.02,70,10,9.08,light rain
183,Chara,RU,56.9064,118.2631,39.07,75,100,2.84,overcast clouds
184,Pangnirtung,CA,66.1451,-65.7125,42.8,81,75,10.36,broken clouds
185,Conceicao Do Araguaia,BR,-8.2578,-49.2647,100.8,23,96,7.87,overcast clouds
186,Mecca,SA,21.4267,39.8261,91.18,37,42,4.23,scattered clouds
187,Lavrentiya,RU,65.5833,-171.0,44.2,92,100,14.7,light rain
188,Tasiilaq,GL,65.6145,-37.6368,39.36,96,100,16.08,light rain
189,Lasa,IT,46.6166,10.7002,54.48,68,81,7.18,broken clouds
190,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.43,66,18,9.8,few clouds
191,Faya,SA,18.3851,42.4509,69.91,53,93,6.06,overcast clouds
192,Valparaiso,CL,-33.0393,-71.6273,57.47,100,100,11.5,overcast clouds
193,Springfield,US,37.2153,-93.2982,82.36,63,0,13.8,clear sky
194,Prince Rupert,CA,54.3161,-130.3201,49.69,98,75,11.5,broken clouds
195,Hamilton,US,39.1834,-84.5333,83.73,62,0,11.5,clear sky
196,Bulungu,CD,-4.55,18.6,82.49,58,94,2.04,overcast clouds
197,Bathsheba,BB,13.2167,-59.5167,88.41,70,40,18.41,scattered clouds
198,Pontianak,ID,-0.0333,109.3333,76.98,88,40,0.0,scattered clouds
199,Portage,US,41.1667,-81.1998,78.66,64,75,6.91,broken clouds
200,Salalah,OM,17.0151,54.0924,80.69,94,75,9.22,broken clouds
201,Tautira,PF,-17.7333,-149.15,76.35,78,58,22.37,light rain
202,Hazorasp,UZ,41.3194,61.0742,66.04,20,48,9.66,scattered clouds
203,Cabo San Lucas,MX,22.8909,-109.9124,91.62,71,59,4.7,broken clouds
204,Port Lincoln,AU,-34.7333,135.8667,54.27,77,100,17.25,overcast clouds
205,Linguere,SN,15.3953,-15.1193,93.4,50,97,9.95,overcast clouds
206,Longyearbyen,SJ,78.2186,15.6401,28.24,80,40,10.36,scattered clouds
207,Vao,NC,-22.6667,167.4833,71.31,69,74,15.84,broken clouds
208,Amurzet,RU,47.6967,131.0981,55.92,98,100,3.83,overcast clouds
209,Waddan,LY,29.1614,16.139,92.03,12,0,7.99,clear sky
210,Olinda,BR,-8.0089,-34.8553,82.13,61,40,12.66,scattered clouds
211,Haines Junction,CA,60.7522,-137.5108,28.35,93,32,3.44,scattered clouds
212,Wasilla,US,61.5814,-149.4394,56.62,84,100,9.22,overcast clouds
213,Russell,US,32.3502,-85.1999,83.37,54,20,8.05,few clouds
214,Taybad,IR,34.74,60.7756,75.07,28,0,17.92,clear sky
215,Pierre,US,44.3683,-100.351,65.32,77,100,11.5,overcast clouds
216,Mitu,CO,1.1983,-70.1733,87.87,56,95,2.13,overcast clouds
217,Urdoma,RU,61.7533,48.5442,49.8,98,100,5.01,overcast clouds
218,Broken Hill,AU,-31.95,141.4333,47.73,76,12,9.17,few clouds
219,Eureka,US,40.8021,-124.1637,61.2,82,100,1.99,overcast clouds
220,Bairiki,KI,1.3292,172.9752,80.6,78,20,5.75,few clouds
221,Svetlaya,RU,46.5389,138.3297,55.99,94,100,8.88,overcast clouds
222,Hit,IQ,33.6416,42.8251,92.05,16,0,11.48,clear sky
223,Kushima,JP,31.4583,131.2333,80.01,91,100,26.02,moderate rain
224,Kruisfontein,ZA,-34.0033,24.7314,58.89,80,95,7.09,overcast clouds
225,Quatre Cocos,MU,-20.2078,57.7625,71.71,79,17,15.01,light rain
226,Szamotuly,PL,52.612,16.5779,59.31,64,98,9.53,overcast clouds
227,Salym,RU,60.0625,71.4789,49.3,68,98,7.47,overcast clouds
228,Nosy Varika,MG,-20.5833,48.5333,69.04,83,1,4.7,clear sky
229,Saint Anthony,US,45.0205,-93.218,75.97,77,75,10.36,broken clouds
230,Vila Franca Do Campo,PT,37.7167,-25.4333,79.21,72,34,8.01,scattered clouds
231,Langsa,ID,4.4683,97.9683,73.53,98,95,3.18,moderate rain
232,Portree,GB,57.4129,-6.1942,53.53,92,100,9.95,overcast clouds
233,Kaitangata,NZ,-46.2817,169.8464,38.77,94,50,3.94,scattered clouds
234,Ruteng,ID,-8.6136,120.4721,61.48,87,100,1.03,overcast clouds
235,Lompoc,US,34.6391,-120.4579,71.56,86,100,14.97,overcast clouds
236,Raymondville,US,26.4815,-97.7831,89.6,51,70,9.95,broken clouds
237,Pietarsaari,FI,63.65,22.6833,50.13,98,100,7.0,overcast clouds
238,Karaton,ID,-6.3424,106.1045,73.9,92,78,1.61,broken clouds
